file name,titls as per dsbc,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
book_196.xml,Mañjuvajrastotram,T01n889u,,,,Not found.,Mañjuvajrastotra,,,,https://www.dsbcproject.org/canon-text/book/196,,
book_195.xml,Maṅgalaṣoḍaśastutiḥ,T01n888u,,,,Not found.,Maṅgalaṣoḍaśastuti,,,,https://www.dsbcproject.org/canon-text/book/195,,
book_194.xml,Kalyāṇapañcaviṃśatistotram,T01n887u,,,,Not found.,Kalyāṇapañcaviṃśatistotra,,,,https://www.dsbcproject.org/canon-text/book/194,,
book_193.xml,Ṣaḍabhijñastotram,T01n886u,,,,Not found.,Ṣaḍabhijñastotra,,,,https://www.dsbcproject.org/canon-text/book/193,,
book_192.xml,Kamalākarasarvatathāgatastotram,T01n885u,,,,Not found.,Kamalākarasarvatathāgatastotra,,,,https://www.dsbcproject.org/canon-text/book/192,,
book_190.xml,Saptajinastavaḥ,T01n883u,,,,Not found.,Saptajinastava,,,,https://www.dsbcproject.org/canon-text/book/190,,
book_189.xml,Saptabuddhastotram,T01n882u,,,T32n1682,,Saptabuddhastotra,,,,https://www.dsbcproject.org/canon-text/book/189,,
book_188.xml,Suprabhātastotram,T01n881u,,,,Not found.,Suprabhātastotra,,,,https://www.dsbcproject.org/canon-text/book/188,,
book_187.xml,Sattvārādhanagāthā,T01n880u,,,,Not found.,Sattvārādhanagāthā,,,,https://www.dsbcproject.org/canon-text/book/187,,
book_186.xml,Śākyasiṃhastotram (yaśodharākṛtam),T01n879u,,,,Not found.,Śākyasiṃhastotra: yaśodharākṛtam,,,,https://www.dsbcproject.org/canon-text/book/186,,
book_185.xml,Śākyasiṃhastotram (viṣṇukṛtam),T01n878u,,,,Not found.,Śākyasiṃhastotra: viṣṇukṛtam,,,,https://www.dsbcproject.org/canon-text/book/185,,
book_184.xml,Śākyasiṃhastotram (surapatikṛtam),T01n877u,,,,Not found.,Śākyasiṃhastotra: surapatikṛtam,,,,https://www.dsbcproject.org/canon-text/book/184,,
book_183.xml,Śākyasiṃhastotram (śaṅkarakṛtam),T01n876u,,,,Not found.,Śākyasiṃhastotra: śaṅkarakṛtam,,,,https://www.dsbcproject.org/canon-text/book/183,,
