file_name,catalogue_no,title,author,author_id,tōh.,CBETA number,Remarks Chinese translation,url,archive.org,reconstructed (y/n),best_text,duplicate_of_standard
vādanyāyaṭīkā_book_282.xml,book_282,Vādanyāyaṭīkā,Vinītadeva,P9951,"D4239, D4240",,Not found.,https://www.dsbcproject.org/canon-text/book/282,,,,
vimalaratnalekha_book_879.xml,book_879,Vimalaratnalekha,,,"D4566, D4188",,Not found.,https://www.dsbcproject.org/canon-text/book/879,,,,
daṇḍikathā_book_774.xml,book_774,Daṇḍikathā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/774,,,,
subodhālaṅkāra_book_103.xml,book_103,Subodhālaṅkāra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/103,https://archive.org/details/subodh-pts-ed.-jaini-book-1/page/n7/mode/2up,,,
abhidharmāmṛta_book_97.xml,book_97,Abhidharmāmṛta,Ghoṣaka,P0AT0261,,T28n1553,,https://www.dsbcproject.org/canon-text/book/97,https://archive.org/details/in.ernet.dli.2015.326757/mode/2up,,,
mahāyānasaṃgraha_book_867.xml,book_867,Mahāyānasaṃgraha,Asaṅga,P6117,D4048,"T31n1592, T31n1593, T31n1594",n2994u is reconstructed from Chn or TIb - not reliable!,https://www.dsbcproject.org/canon-text/book/867,https://archive.org/search.php?query=Mah%C4%81y%C4%81nasa%E1%B9%83graha,,,
yogācārabhūmi_book_341.xml,book_341,Yogācārabhūmi,Asaṅga,P6117,D4035,T30n1579,,https://www.dsbcproject.org/canon-text/book/341,https://archive.org/search.php?query=Yog%C4%81c%C4%81rabh%C5%ABmi,,,
cittatatvasaṅgraha_book_329.xml,book_329,Cittatatvasaṅgraha,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/329,,,,
bāhyarthasiddhikārikā_book_324.xml,book_324,Bāhyarthasiddhikārikā,Śubhagupta,,D4244,,Not found.,https://www.dsbcproject.org/canon-text/book/324,,,,
bodhyāpattideśanāvṛtti_book_262.xml,book_262,Bodhyāpattideśanāvṛtti,Nāgārjuna,P4954,D4005,,Not found.,https://www.dsbcproject.org/canon-text/book/262,,,,
paramārthastava_book_156.xml,book_156,Paramārthastava,Nāgārjuna,P4954,D1122,,Not found.,https://www.dsbcproject.org/canon-text/book/156,,,,
niraupamyastava_book_155.xml,book_155,Niraupamyastava,Nāgārjuna,P4954,D1119,,Not found.,https://www.dsbcproject.org/canon-text/book/155,,,,
madhyamakaśāstrastuti_book_154.xml,book_154,Madhyamakaśāstrastuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/154,,,,
madhyamakāvatārakārikā_book_852.xml,book_852,Madhyamakāvatārakārikā,Candrakīrti,P5782,,,Not found.,https://www.dsbcproject.org/canon-text/book/852,,,,
