xml filename,htm filename,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive,DSBC
sa_jitAri-hetutattvopadeza-alt.xml,jithetuu.htm,T11jithetuu,T11D4261,D4261,,Not found.,Hetutattvopadeśa,,Jitāri (Jetāri),,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/jithetuu.htm,Reconstructed; Sanskrit text with the Tibetan version,https://archive.org/search.php?query=Hetutattvopade%C5%9Ba,y
sa_jitAri-hetutattvopadeza.xml,jithettu.htm,T11jithettu,T11D4261,D4261,,Not found.,Hetutattvopadeśa,,Jitāri (Jetāri),,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/jithettu.htm,,https://archive.org/search.php?query=Hetutattvopade%C5%9Ba,
sa_dharmakIrti-nyAyabinduprakaraNa-comm.xml,dhnyabpu.htm,T11dhnyabpu,,,,Not found.,Nyāyabinduprakaraṇa,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhnyabpu.htm,,,y
sa_dharmakIrti-vAdanyAya.xml,dhkvadnu.htm,T11dhkvadnu,T11D4218,D4218,,Not found.,Vādanyāya,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkvadnu.htm,,https://archive.org/search.php?query=V%C4%81dany%C4%81ya,
sa_dharmakIrti-subandhaparIkSA-1-25.xml,dhksparu.htm,T11dhksparu,"D4214, D4215","D4214, D4215",,Not found.,Sambandhaparīkṣā,Verses 1-25,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhksparu.htm,,,
sa_dharmakIrti-pramANavArttisvavRtti.xml,dhkpvsvu.htm,T11dhkpvsvu,T11D4216,D4216,,Not found.,Pramāṇavārttikavṛtti [Pramāṇavārttikasvavṛtti],,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkpvsvu.htm,,,
sa_dharmakIrti-pramANavArttikakArikA.xml,dhkprvku.htm,T11dhkprvku,T11D4210,D4210,,Not found.,Pramāṇavārttikakārikā,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkprvku.htm,,,
sa_dharmakIrti-pramANavinizcaya-fragment.xml,dhkprviu.htm,T11dhkprviu,D4211,D4211,,Not found.,Pramāṇaviniścaya,Fragment,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkprviu.htm,,,
sa_dharmakIrti-nyAyabindu.xml,dhknyayu.htm,T11dhknyayu,T11D4212,D4212,,Not found.,Nyāyabindu,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhknyayu.htm,,https://archive.org/search.php?query=Ny%C4%81yabindu,
sa_dharmakIrti-hetubindu-edsteinkellner.xml,dhkhetuu.htm,T11dhkhetuu,T11D4213,D4213,,Not found.,Hetubindu,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkhetuu.htm,,,
sa_ratnakIrti-nibandhAvalI.xml,bsa075_u.htm,T11bsa075_u,,,,Not found.,Nibandhāvalī,,Ratnakīrti,P8181,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa075_u.htm,,https://archive.org/search.php?query=Nibandh%C4%81val%C4%AB,y
sa_tarkabhASA.xml,bsa072_u.htm,T11bsa072_u,T11D4264,D4264,,Not found.,Tarkabhāṣā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa072_u.htm,,https://archive.org/search.php?query=Tarkabh%C4%81%E1%B9%A3%C4%81,y
sa_dharmakIrti-hetubindu.xml,bsa071_u.htm,T11bsa071_u,T11D4213,D4213,,Not found.,Hetubindu,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa071_u.htm,,,y
sa_upAyahRdaya.xml,bsa070_u.htm,T11bsa070_u,,,T32n1632,,Upāyahṛdaya,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa070_u.htm,Reconstructed,,y
sa_tarkazAstra.xml,bsa069_u.htm,T11bsa069_u,,,T32n1633,"Michael: I think the supposed equivalence between the Tarkaśāstra and T1633 has to be taken with a grain of salt. SN: I checked the first few and the last few sentences and they look corresponding so far, but certainly there can be problems that we are not aware of yet.",Tarkaśāstra,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa069_u.htm,Reconstructed,,y
