,filename,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
10,aniruddhasaMhitA-M00353-IAST.txt,M00353,Aniruddhasaṃhitā,,A. Shrinivasa Iyengar,,,,,,,,,,,['pāñcarātra'],,,,,,iti śrīpāñcarātre mahopaniṣadi aniruddhasaṃhitāyāṃ bhaktapratiṣṭhānām catustriṃśo'dhyāyaḥ,
11,,M0511,Anuttaraprakāśapañcāśikā,Version 1,,M0511=M00004,exact copy/paste,,,,,,,,,"['śaiva', 'non-dual śaivism of Kashmir']",Ādyanātha,mbP0005,colophon,,,iti śrīmadādyanāthaviracitā anuttaraprakāśapañcāśikā samāptā,
12,anuttaraprakAzapaJcAzikA-M00004-IAST.txt,M00004,Anuttaraprakāśapañcāśikā,Version 2,"Śāstri, Mukundarāma",M00004=M0511,exact copy/paste,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Ādyanātha,mbP0005,colophon,,,iti śrīmadādyanāthaviracitā anuttaraprakāśapañcāśikā samāptā,
,,ilxM00003,Amṛtanādopaniṣat,,,,,,,,,,,,,,,,,,,,
13,amRtanAdopaniSat-M00104-IAST.txt,M00104,Amṛtanādopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Amṛtanāda Upaniṣat,ilxM00003,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā likhitaṃ syādvivaraṇaṃ nādopaniṣadaḥ sphuṭam prakṛtopaniṣadvyākhyāgranthaḥ ṣaṣṭyuttaraṃ śatam iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ekaviṃśatiṃsaṃkhyāpūrakam amṛtanādopaniṣadvivaraṇaṃ saṃpūrṇam,
,,ilxM00004,Amṛtabindūpaniṣat,,,,,,,,,,,,,,,,,,,,
14,amRtabindUpaniSat-M00103-IAST.txt,M00103,Amṛtabindūpaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Amṛtabindu Upaniṣat,ilxM00004,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā likhitaṃ syādvivaraṇaṃ bindūpaniṣadaḥ sphuṭam prakṛtopaniṣadvyākhyāgranthastriṃśādhikaṃ śatam iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe viṃśatisaṃkhyāpūrakam amṛtabindūpaniṣadvivaraṇaṃ saṃpūrṇam,
15,amRtezatantra-M00504-IAST.txt,M00504,Amṛteśatantra,,,,,This does not seem to be what is usually referred to as Netratantra (i.e. ilxM00095 / M00038),,,,Netratantra,,,,['tantra / āgama'],,,,,,samāptamidaṃ mṛtyujidamṛtīśavidhānaṃ saṃpūrṇamiti śubham || saṃvat 320 caitraśudi śani dive (***?) viśveśvara likhāpitamidaṃ pustakaṃ || paṃḍitakīrtidhara likhitaṃ mayā,
16,amRtezvaradikSAvidhi-M00539-IAST.txt,M00539,Amṛteśvaradikṣāvidhi,,,,,,incomplete,lacking incipit,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,iti śivasaptasrotāgamagaṇābhiprāyāduddhṛtāmṛtīśanetrodyotā-'pratihatamahādi ikṣāsuṭippaṇakaṃ samāptam,
17,azeSakulavallarI-M00311-IAST.txt,M00311,Aśeṣakulavallarī,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śākta', 'compendium', 'Paddhati']",Gaṇanāthabhaṭṭa,mbP0006,colophon,Bhaṭṭa Śrī Gaṇanātha,colophon,iti bhaṭṭaśrīgaṇanāthaviracitāyāmaśeṣavallaryāṃ gurudhyānapaddhatiḥ prathamā,in middle
