,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
133,M00291,Gorakṣaguṭikā,,,,,,,9 chapters,,,,,,"['tantric / āgamic literature', 'yoga']",Gorakṣanātha,mbP0031,colophon,,,iti śrīkalpadrumavivekinyāṃ yogābhyāse haragaurīsambāde gorakṣaguṭikāyāṃ śrīgorakṣanāthasahasranāmastotraṃ nāmanavamastaraṅgaḥ,
134,M00289,Gorakṣamudgara,version 1,,M00289=M00288,exact copy/paste,,,colophon doesn't match description,,,,,,['tantric / āgamic literature'],Gorakṣanātha,mbP0031,colophon,,,mūlasāreti iti gorakṣajogaśāstrasamāptaṃ,
135,M00288,Gorakṣayogaśāstram,version 2,,M00289=M00288,exact copy/paste,,,,,Mūlasāra,,,,"['tantric / āgamic literature', 'yoga']",Gorakṣanātha,mbP0031,colophon,,,mūlasāreti iti gorakṣajogaśāstrasamāptaṃ,
136,M00522,Gorakṣaśataka,,,,,,,,,,,,,['yoga'],Gorakṣanātha,mbP0031,colophon,,,iti gorakṣaśatakaṃ sampūrṇam,
137,M00647,Gautamatantra,,,,,,,32 chapters,,,,,,['tantra / āgama'],,,,,,iti śrīgautamīye mahātaṃtre sarvataṃtrottame dvātriṃśo'dhyāyaḥ || samāptaḥ śubham,
138,M00509,Gaṇakārikā Ratnaṭīkā (ex- Gaurīkāñcalikātantra),version 2,,M00509=M00508,exact copy/paste,,fragments,"mixed excerpts - - - This file was mislabeled as Gaurīkāñcalikātantra by Mantramahādeva. It is instead an exact copy/paste of file M00508, and has therefore been renamed accordingly. All the details given here have also been modified accordingly.",colophon,,ilxM00023,commentary,,['tantra / āgama'],Bhāsarvajña,mbP0029,colophon,,,ācāryabhāsarvajñaviracitāyāṃ gaṇakārikāyāṃ ratnaṭīkā parisamāptā /// APPENDIX: viśuddhamunikṛtaṃ yamaprakaraṇam // from ṣaḍdarśanasamuccya of ācārya haribhadra /// From sarvadarśanasaṅgraha /// from ṣaḍdarśanasamuccaya of rājaśekharasūri // kāravaṇamāhātmyam /// AT END - iti śrīśivapurāṇe pārvatīmaheśvarasaṃvāde tīrtha(***?)ṇikāyāṃ śūlapāṇijanmapaṭṭabandhādimāhātmyaṃ samāptam | samāptaṃ kāravaṇamāhātmyam,
139,M00601,Caturvedārthatātparyasaṃgraha,,,,,,,,,,,,,['vīraśaiva'],,,,,,iti caturvedārthatātparyasaṃgrahaḥ samāptaḥ || śrīmaddevaśikhāmaṇigurubhyo namaḥ | śrīmatṣaṇmukhagurave namaḥ | śubhamastu ,
140,I00008,Candrajñāna Nityārchanavidhiḥ Mantravāsam,,,,,,incomplete,,,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",,,,,,iti candratajñāne /// atha nityārcanaṃ vakṣye /// mantravāsamidaṃ proktaṃ mantravāhanamucyate,
141,M00263,Candrajñānāgama,version 1,,M00263=M00273=M00201,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,atha candrajñānaṃ likhyate,at beginning
142,M00273,Candrajñānāgama,version 2,,M00263=M00273=M00201,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti candrajñāne jñānadarśanapaṭalaḥ samāptam,
143,M00201,Candrajñānāgama,version3,,M00263=M00273=M00201,vīraśaiva recension,,incomplete,misses whole pūrvabhāga,,,,,,['śaiva'],,,,,,iti śrīcandrajñānāgame uttarabhāge'nantarudrabṛhaspatisaṃvāde śivaśāsane caryāpāde prāyaścittavidhikathanaṃ nāmāṣṭamaḥ paṭalaḥ || followed by - mūlapañcākṣaramantranyāsāḥ ,almost at end
144,M00506,Candrāvalokana,,,,,,,,,,,,,['yoga'],,,,,,iti maheśvareṇaviracitaṃ candrāvalokanam sampūrṇaṃ || śrīgurunāthāya namaḥ ,
,ilxM00024,Carcāstava,,,,,,,,,,,,,,Dharmācārya,mbP0109,colophon,,,,
145,M00307,Carcāstava Ṭīkā,,,,,,,contains only 2nd stava,colophon,,ilxM00024,commentary,including the mūla,"['tantric / āgamic literature', 'śākta']",Harabhaṭṭa Śāstrī,mbP0129,colophon,,,iti śrīdharmācāryakṛtau pañcastavyāṃ carcāstavo dvitīyaḥ /// iti śrīmahāmāheśvarapaṇḍitaharabhaṭṭaśāstriviracitāyāṃ pañcastavīṭīkāyāṃ dvitīyaḥstavaḥ || vallī kāpi puratrayeṣu vilasatyekākinī visphurannānāvarṇadaśā palāśakhacitā śākhāpratānāgraṇīḥ | yasmin naikaphalorubhāravinatasvaṅgā turīyā stave tasmin prāthamiketare vivaraṇaṃ pūrṇaṃ parānugrahāt ||,towards end /// at end
146,M00014,Cidgaganacandrikā,,Arthur Avalon / John Woodroffe / Trivikramatīrtha,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'kālīkula / krama']",Kālīdāsa,mbP0032,colophon,Śrīvatsa,colophon,pūrṇapīṭhakṛtaṃ siddhestadbhāvastavamādarāt | vā narārthaṃ mahāguhya śrīvatso vidadhe sa tu /// iti śrīkālīdāsamahākaviviracitā cidgaganacandrikā sampūrṇā PLUS ADDITIONAL TEXT,
147,E0002,Cinmantramālinī,,,,,,,only nityopāsanākrama chapter,,Nityopāsanākrama,,,,['tantric / āgamic literature'],Prakāśānanda,mbP0033,colophon,,,iti śrī prakāśānanda viracitāyāṃ cinmantramālinyāṃ nityopāsanākramaḥ samāptaḥ | saṃvat 1719,
148,E0004,Cinmayadīkṣāvidhāna,,,,,,unclear,"yes?, but no colophon",,,,,,"['tantric / āgamic literature', 'śaiva', 'yoga']",,,,,,ṣaḍadhvaśodhanapūrvikacinmayadīkṣāṃ kariṣya iti saṃkalpya ,in middle
149,M00155,Janmamaṛanavicāra,,Śāstrī M R,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Vāmadeva,mbP0034,colophon,Tatrabhavat Mahāmāheśvara Ācārya Varya Śrīmad Bhaṭṭa Vāmadeva,colophon,samāpto'yaṃ janmamaraṇavicārākhyo granthaḥ || kṛtistatrabhavanmahāmāheśvarācāryavaryaśrīmadbhaṭṭavāmadevasya || +TILAKA,
150,M00123,Jayākhyasaṃhitā,,Kṛṣṇamācārya Embar,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",,,,,,iti śrīpāñcarātre jayākhyasaṃhitāyāṃ yogākhyānaṃ nāma trayastriṃśaḥ paṭalaḥ || samāpteyaṃ jayākhyasaṃhitā,
151,M00024,Jñānakārikā,,"Bagchi, P. C.",,,,,3 chapters,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula early pre 1100 AD']",Matsyendranātha,mbP0001,catalog,Machindranātha,colophon,iti jñānakārimahāmachindranāthapādāvatāritenoktaṃ caryādhikārastu tṛtīyaḥ paṭalaḥ,
152,E0005,Jñānadīkṣā,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,śivaṃ praṇamya paramaṃ nidhaneśamataḥ param | jñānadīkṣāṃ pravakṣyā (***) śṛṇudhvaṃ samāhitāḥ |,at beginning
153,M0222,Jñānaratnāvalī,,,,,,incomplete,lacking incipit,,,,,,"['śaiva', 'śaiva-siddhānta']",Jñānaśiva,mbP0035,colophon,,,tacchiṣya pravareṇa bodhaparamānandaikadhāmnāparaṃ siddhāntāmṛtapūrapūrṇa manasā vāraṇasīvāsinā | 'srīmajjñānaśivena śambhucaraṇāmbhoja dvayāha (***)valī || śrīmajjñānaratnāvalī samāptā ||,
154,M00191,Jñānasaṅkalinītantra,,"Caṭṭopādhyāya, Rasika Mohana",,,,incomplete,lacking explicit ,,,,,,['tantric / āgamic literature'],,,,,,iti jñānasaṅkalinītantraṃ samāptam,
155,M00265,Jñānasāra,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,nāthajñānasāro likhyate,at beginning
156,E0006,Jñānasiddhyāgama,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,jñāna siddhyāgame prathamastantrāvatārasaṃhitādhikāraḥ samāptaḥ,in middle
157,M00069,Jñānārṇavatantra,,"Malaviya, Sudhakar",,,,,26 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīmajjñānārṇave nityātantre devīśvarasaṃvāde śrīvidyādamanāropaṇavidhirnāma ṣaḍviṃśaḥ paṭalaḥ,
158,M00642,Ḍākinīkalpa,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,ititithiḍākinīkalpasamāptam,in middle
,ilxM00025,Ṇatvabādhāvidhūnanam,,,,,,,,,,,,,,Seṣaśāstrī,mbP0036,incipit,,,,
159,I00019,Ṇatvabādhāvidhūnanam Tattvamālāvyākhyā,,,,,,incomplete,,colophon,,ilxM00025,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Seṣaśāstrī,mbP0036,incipit,,,rāmasvāmimakhīndrapādayugalīpāthojau jṛmbhāyitasvāntaḥ śeṣasudhimaṇirviracite vidvanmude śaṅkare | siddhe sarvapurāṇaśāstranikarairnārāyaṇākhyapade vā dhāraṇatvakṛtāṃ vyapāhya ni(...) śrītatvamālāmaham | rāmasvāmimakhīndradeśikamukhkhāmbhojasravadyāgamayīṃ śeṣādrirvibudhāṅghrisannataśirāttu svādyamādhvindharīm | dūrvādiprakarebhakumbhadalane kakṣyānakhaiḥ kesarī śrī nārāyaṇanāmni(...)ne ṇatvaṃ carīkarti ca | śrī veṅkaṭeśaviduṣaḥ sūnunā śeṣaśāstriṇā | kriyate vacasāṃ śuddhyai svīyānāṃ viduṣāṃ mude || śrīmantaṃ candracūḍaṃ giripatitanayā prāṇanāthaṃ dayābdhiṃ natvā vāgīśvarīṃ ca praṇata janalasadvāgvi*lāsaprādātrīm|*  svīyyāṃ(yāṃ) buddhiṃ ku(kū)jantu stutimalinatamāṃ kṣālaye tatvamālāvyākhyānāmbhobhiretāṃ sapadi viracayan ṇatvahādhāvidhūtim|| racayāmi ṇatvabādhā vidhūnanākhyāṃ kṛtaśivau mukhyām | nārāyaṇa*padabhūṣaṇabhāvalasattatvamālikāvyākhyām,at beginning
,ilxM00026,Tattvacintāmaṇi,,,,,,,,,,,,,,Pūrṇānanda,mbP0022,colophon,Pūrṇānandaparamahaṃsa,colophon,,
160,M00085,Tattvacintāmaṇi Prakāśa Chapters 1-5,,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",Bhuvanmohan Saṃkhyatirtha,mbP0134,catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrītattvacintāmaṇau pañcamaḥ prakāśaḥ,
161,M00086,Tattvacintāmaṇi Prakāśa Chapters 6-10,,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",Bhuvanmohan Saṃkhyatirtha,mbP0134,catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrītattvacintāmaṇau daśamaḥ prakāśaḥ,
162,M00087,Tattvacintāmaṇi Prakāśa Chapters 11-15,,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",Bhuvanmohan Saṃkhyatirtha,mbP0134,catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrītattvacintāmaṇau pañcadaśaḥ prakāśaḥ,
163,M00088,Tattvacintāmaṇi Prakāśa Chapters 16-End,,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",Bhuvanmohan Saṃkhyatirtha,mbP0134,catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrī-tattvacintāmaṇau ṣaḍviṃśatitamaḥ prakāśaḥ || śrītattvacintāmaṇiḥ samāptaḥ,
164,M00290,Tattvaratnāvalī,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",Vimalaśiva,mbP0037,colophon (in middle),,,iti śrīvimalācāryanirmite tyaṃtanirmale(?) tatvaratnāvalīgraṃthe nityakarmavinirṇayaḥ,in middle
165,M00655,Tattvaśodhanam,,,,,,,topic is concluded but MS is incomplete ,,,,,,['tantric / āgamic literature'],,,,,,ititatvaśodhanamsampūrṇammabde 1727 varṣautaubhādrekṛṣṇa 13 trayodaśyāṃ gurausvārthaparārthaṃca vāstavyamallāragaḍe,almost at end
166,M00314,Tantracintāmaṇi,,,,,"MB states ""with commentary Pañjikā"", but it doesn't seem to have been typed",incomplete,30 out of 40 chapters ,,,,,,"['compendium', 'tantric / āgamic literature']",Ādyānanda,mbP0038,catalog,Navamīsiṃha,catalog,iti śrītaṃtraciṃtāmaṇau mālābhedādipratiṣṭāṃtanirṇayo nāma triṃśattamaḥ prakāśaḥ,at end
,ilxM00027,Tantrarājatantra,,,,,,,,,,,,,,,,,,,,
167,M00122,Tantrarājatantra Manorama,,John Woodroffe,,,,,,colophon,Tantrarājatantra,ilxM00027,commentary,including the mūla,"['tantric / āgamic literature', 'śākta']",Subhagānandanātha,mbP0135,colophon,,,iti ṣoḍaśanityātantreṣu śrīkādimatākhyasya paripūrṇasya tantrasya prapañcasārasiṃharājaprakāśābhidhānena subhagānandanāthena viracitāyāṃ manoramākhyāyāṃ vyākhyāyāṃ devatādeśikaśiṣyaprapañcādīnāṃ paramārthasvarūpaprakāśanaparaṃ ṣaṭtriṃśatpaṭalaṃ paripūrṇaṃ parāmṛṣṭam + additional text/tilaka /// samāptā ceyaṃ tantrarājaṭīkā manoramā || oṃ,
168,M00153,Tantrasāra,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Abhinavagupta,mbP0017,colophon,,,iti śrīmadabhinavaguptācāryaviracite tantrasāre kulayāgaprakāśanaṃ nāma dvāviṃśamāhnikam || itthaṃ ṣaḍardhakramasaṃpradāyaṃ sapratyayāpratyayabhinnamāpya | śrīśaṃbhunāthātkaruṇārasena svayaṃ prasannādanapekṣavṛttyā || kāśmīriko'bhinavaguptapadābhidhānaḥ śrītantrasāramakarodṛjunā krameṇa | yattena sarvajana eṣa śivaṃ prayātu lokottaraprasaraśāṃbhavatantrasāram || kṛtistatrabhavacchrīmanmahāmāheśvarācāryavaryaśrīmadabhinava(…) + TILAKA // śrīsvātmasaṃvidabhinnarūpaśivārpaṇaṃ bhūyat | samāptaṃ cedaṃ tantrasārākhyaṃ śāstram |,
169,M00366,Tantrābhidhāna,,Pañcānana Bhaṭṭacārya Tarkasāṃkhyavedāntatīrtha,,,,fragments,collection of excerpts,,,,,,['tantric / āgamic literature'],,,,,,sections - iti śrīpuruṣottamadevaviracita ekākṣarakoṣaḥ samāptaḥ  ///  iti śrībhairavaviracito bījanighaṇṭumantrakoṣaḥ samāptaḥ ///  iti śrīmanmahīdāsaviracita-mātṛkānighaṇṭuḥ samāptaḥ /// iti śrīdeśikamaṇḍalīmukuṭamāṇikyopama-paramahaṃsa-śrīmadhvācāryaviracito mātṛkānighaṇṭuḥ samāptaḥ /// iti mātṛkā-nirghaṇṭaḥ samāptaḥ /// iti rudrayāmalatantrokta-varṇanighaṇṭu samāptaḥ /// iti bhūtaḍāmaratantroktabījābhidhānaṃ samāptam /// iti varadātantrokta-mantrārthābhidhānaṃ samāptam /// iti śrīvāmakeśvaratantre umāmaheśvarasaṃvāde mudrānighaṇṭuḥ samāptaḥ | samāpto'yaṃ granthaḥ /// end - varṇabījakoṣaḥ samāptaḥ,sections /// at end
,ilxM00028,Tantrāloka,,,,,,,,,,,,,,Abhinavagupta,mbP0017,colophon,,,,
170,M00092,Tantrāloka Viveka Chapters 1-14,,,,,,,,colophon,,ilxM00028,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kaula', 'trika']",Jayaratha,mbP0136,colophon,,, iti śrāmadācāryābhinavaguptapādaviracite śrījayarathācāryakṛtavivekākhyavyākhyopete śrītantrāloke dīkṣopakramaprakāśanaṃ nāma caturdaśamāhnikam || ,
171,M00093,Tantrāloka Viveka Chapters 15-38,,,,,,,,colophon,,ilxM00028,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kaula', 'trika']",Jayaratha,mbP0136,colophon,,,iti śrīmanmahāmāheśvarācāryavaryaśrīmadabhinavaguptaviracite śrītantrāloke śrījayarathaviracitavivekābhikhyavyākhyopete upādeyabhāvādinirūpaṇaṃ nāma saptatrīmśamāhnikaṃ samāptam ||samāpto'yaṃ granthaḥ,
172,M00094,Tāratantra,,,,,,fragments,mixed excerpts,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrībhairavabhairavīsaṃvāde tārātantre ṣaṣṭhaḥ paṭalaḥ || samāpto'yaṃ granthaḥ || followed by: buddhavaśiṣṭhavṛttāntaḥ | rudrayāmale saptadaśapaṭalaḥ | brahmayāmale devīśvarasaṃvāde prathamapaṭale | cuts off at the beginning of tṛtīya,list of sections
173,M00636,Tārābhaktitaraṅgiṇī,,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",Vimalānanda,mbP0039,colophon,,,itivimalānaṃdaviracitāṃtārābhaktitaraṃgīṇīsthasaptaśatikāvidhānaṃsamāptam,
174,M00055,Tārābhaktisudhārṇava,,Arthur Avalon,,,,,11 chapters,,,,,,"['compendium', 'tantric / āgamic literature', 'śākta']",Narasiṃha Ṭhakkura,mbP0040,colophon,,,iti tāriṇīkalpaḥ samāptaḥ | iti mahāmahopādhyāya ṭhakkura śrīnarasiṃha viracite tārābhaktisudhārṇave ekādaśastaraṅgaḥ,
175,M00096,Tārārahasyavṛttikā,,Pandita Manindra Mohan Chowdhury Kavyatirtha,,,,incomplete,lacking explicit+final colophon; 8 chapters present out of 15,,,M00095,commentary,,"['tantric / āgamic literature', 'śākta']",Śaṅkara,mbP0110,incipit,Gauḍīya Śaṅkara Ācārya,catalog,kṛtā śrīśaṅkareṇaiṣā tārārahasyavṛttikā ,almost at beginning
176,M00323,Tārārahasyavṛtti,,,,,,,15 chapters,,,M00095,commentary,,"['tantric / āgamic literature', 'śākta']",Śaṅkara,mbP0110,colophon,Śrī Śaṅkara Ācārya,colophon,iti śrīśaṅkarācārya viracitāyāṃ tārārahasyavṛttau taṃtracūḍāmaṇau vāsanānīrṇayo nāma pañcadaśamaḥ paṭalaḥ samāptam /// AUTHOR??? guruṇāśca mataṃ jñātvā kṛtā śrīśaṃkareṇa vaiḥ | sarvāmnāyasaṃpannaṃ vai tārārahasyavṛttikā,
177,M00095,Tārārahasya,,,,,,,,,,,,,['śākta'],Brahmānanda,mbP0111,colophon,Brahmānanda Giri / Paramahaṃsa,colophon (within text),brahmānandakṛtau susādhanavidhau tārārahasye śubhe yogācāravidhau caturthapaṭalaḥ sarvārthasiddhipradaḥ || iti tārārahasyatantraṃ samāptam,
,ilxM00096,Tārāsahasranāma,,,,,,,,,,,,,,,,,,,,
178,M00638,Tārāsahasranāmavyākhyā Abhidhārthacintāmaṇi,,,,,,uncertain,yes?,,,ilxM00096,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama']",Viśveśvaraḥ,mbP0115,catalog,,,saṃvat 1942 caitrakṛṣṇapakṣecatudaśyārivevārā || śrīparamadevatāprītābhavaṃtu || śubhaṃ || tārāsahasranāmnāvyākhyāviśveśvarākhyasya | nirmitirapagatadoṣātārābhaktābjabhānurastīyaṃ tārāsahasranāmadīṭīkā,
179,M00258,Timirodhghāṭatantra,,,,,,incomplete,,,,,,,"['tantra / āgama', 'śaiva']",,,,,,iti timirodghāṭanai (e) dvitīyaḥ paṭalaḥ,in middle
,ilxM00029,Tejobindūpaniṣat,,,,,,,,,,,,,,,,,,,,
180,M00114,Tejobindūpaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Tejobindu Upaniṣat,ilxM00029,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ tejobindoḥ sphuṭaṃ laghu // itīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe saptatriṃśatsaṃkhyāpūrakaṃ tejobindūpaniṣadvivaraṇaṃ saṃpūrṇam,
181,M00203,Tridaśaḍāmaratantre Siddhikalīstotra,,,,,,incomplete,lacking incipit,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,iti śrītridaśaḍāmare śrīsiddhikālī stotraṃ saṃpūrṇaṃ /// iti tridaśaḍāmare śrīsiddhikālī mantroddhāra saṃpūrṇaṃ /// śubhaṃ || pūrṇam,towards end /// at end
182,M00204,Tridaśaḍāmarāpratyaṅgirāviśayakanānātantra,,,,,,fragments,collection of excerpts/fragments,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,iti śrītridaśaḍāmare mahātantre catuḥtriṃśatisāhasre śrīpratyaṃgirātpattimūlamantroddhāravidhiṃ ekāśītitamaḥ paṭalaḥ /// iti śrījayadrathayāmale vidyāpīṭhe bhairavaśrotasiśiraścchede caturviṃśati sāhasre dvitīyaṣaṭke śrīsiddhalakṣmī vidhāne mūlamālāmantraprakāśa ekaviṃśatitamaḥ paṭalaḥ samāptaḥ /// iti śrīmahākulakrame ḍāmare karavīrayoge vidyāmantrodayacakravarṇano nāmaprathama paṭalaḥ (AND 2-3-4-5)/// iti śrīkālasaṃkarṣaṇimate trailokyamohane caturviṃśatisāhasre vidyāsamudāya śrīsiddhikālī kramaṭiyiṇikaṃ prathamaḥ paṭalaḥ (AND 2-3-5-6) /// iti śrīkulaḍāmare siddhalakṣmīvidyātritayaṃ sāṃkṣepataḥ saṃpūrṇam /// iti śrīmahākullālike prākṛta siddhalakṣmī vidyā samāptaḥ /// iti śrītridaśaḍāmare pratyaṃgirā devyā mahāstavādhikāram || saṃvat 738 thvadaṃ śrī 3 bhavānīśaṃkaraprītina śrīkālīdāsa na saṃcayayāhā || umeśa prīṃtayetantrā kālīdāsena saṃcitam /// + ADDITIONAL TEXT LACKING EXPLICIT+COLOPHON,
183,M00637,Tripurabhairavīpañcāṅga,,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,itiśrītripurabhairavīpaṃcamāṃgastotraṃsaṃpūrṇaṃśubham || bhadram,
184,M00639,Tripurasundarīsahasranāmastotra,,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,śrīvāmakeśvarataṃtrehara (* * *?) śrīrājarājeśvarīmahātripurasuṃdarīsaha (* * *?) stotraṃsamāptamitiśivaṃ,
185,M00344,Tripurārahasya Jñānakhaṇḍa Tātparyadīpikā,,,,,,incomplete,only the jñānakhaṇḍa,colophon,,,commentary on jñānakhaṇḍa,including the mūla,"['tantric / āgamic literature', 'śākta', 'śrī-vidyā']",Śrīnivāsa,mbP0137,colophon,,,"iti śrītripurārahasyajñānakhaṇḍavyākhyāyāṃ tātparyadīpikāyāṃ śrīnivāsavibudhaviracitāyāṃ (k, kh: budha ityeva) dvāviṃśo'dhyāyaḥ",
186,M00221,Tripurārahasya Māhatmyakaṇḍham,,,,,,incomplete ,only the māhatmyakaṇḍha,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,iti śrīmaditihāsottame tripurārahasye māhātmyakhaṇḍe upāsakamukhyadharmavarṇanaṃ nāmā'śītitamo'dhyāyaḥ || tripurāmbārpitamastu | oṃ tat sat || samāptamidaṃ tripurārahasye māhātmyakhaṇḍam ,
,ilxM00031,Triśikhibrāhmaṇopaniṣat,,,,,,,,,,,,,,,,,,,,
187,M00297,Triśikhibrāhmaṇopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Triśikhibrāhmaṇa Upaniṣat,ilxM00031,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | prakṛtopaniṣadvyākhyā likhitā sphuṭato laghu || prakṛtopaniṣadvyākhyā ṣaṣṭyuttaraśatatrayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe catuścatvāriṃśatsaṃkhyāpūrakaṃ triśikhibrāhmaṇopaniṣadvivaraṇaṃ saṃpūrṇam,
188,M00313,Troṭalātantra,,,,,,,9 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śākta']",,,,,,ityādye troṭale mahātantre tvaritāmūlasūtre navamaḥ paṭalaḥ samāptaḥ,
189,M00534,Troṭalottara,,,,,,,,,Tottalottara,,,,['tantra / āgama'],,,,,,iti troṭalottare mahātaṃtre ekādaśasāhasrasya paṃcatriṃśatimodhyāyaḥ || iti tvaritājñānakalpa samāptaḥ /// iti troṭalottaro nāma samāptaḥ /// iti tvaritāstotraṃ śārdūlavikrīḍitaṃ dvādaśaślokaṃ samāptamiti || iti maṃgala mahāśrīḥ /// end - iti sārddhanavākṣaryāsthānavinyāsadhyānasūtraṃ samāptamiti,in middle /// at end
190,M00541,Dakṣiṇakālīpūjāpaddhati,,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,iti śrīmaddakṣiṇakālikāpūjāpaddhati samāptā | oṃ tatsat gurave namaḥ | śubham ,
191,M00625,Dakṣiṇāmūrtisaṃhitā,,,,,,,,,,,,,['śaiva'],,,,,,itiśrīdakṣiṇāmūrtisaṃhitāyāṃ damanakāropaṇaṃnaimittikapūjāvidhānaṃ nāmatrayastriṃśatitamaḥpaṭalaḥ || saṃpūrṇaiṣāṃdakṣiṇāmūrtisaṃhitā śubham ,
192,M00632,Dattātreyatantra,,,,,,,22 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,itiśrīdattātreyataṃtresiṃhavyāghrādinivāraṇaṃnāmadvāviṃśatipaṭalaḥ || ādarśadoṣāgatibibhramādva (***) yadarthahīnaṃlikhitaṃ mayāhi kṣamasvadevaparamātmarūparakṣāṃsadādehi bhayāturasya ||,
193,E0003,Dattātreyabodha,,,,,,incomplete,lacking incipit,,,,,,"['tantric / āgamic literature', 'yoga']",,,,,,iti dattātreyabodhaḥ samāptaḥ || hariḥ oṃ || śubhamastu,
,ilxM00032,Darśanopaniṣat,,,,,,,,,,,,,,,,,,,,
