file,title,title_buddhanexus,title_notes,author,author_buddhanexus,author_pid,tōh,cbeta,Remarks Chinese translation,reconstructed (y/n),url,legacy_url,url_buddhanexus,archive.org,dsbc (yn),category,best_text,duplicate_of_standard
sa_pratyakSalakSaNa-of-the-tarkarahasya.xml,Pratyakṣalakṣaṇa of the Tarkarahasya,Pratyakṣalakṣaṇa,Of Tarkarahasya,,,,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_pratyakSalakSaNa-of-the-tarkarahasya.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/tarkrplu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/tarkrplu.htm,,,6_sastra/3_phil/buddh,,
sa_stUpalakSaNakArikAvivecana.xml,Stūpalakṣaṇakārikāvivecana,Stūpalakṣaṇakārikāvivecana,,,,,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_stUpalakSaNakArikAvivecana.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/stuplaku.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/stuplaku.htm,,,4_rellit/buddh,,
sa_nagnajit-citralakSaNam.xml,Citralakṣaṇam (= NCit),Citralakṣaṇa,,Nagnajit,Nagnajit,P0ER0031,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_nagnajit-citralakSaNam.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/nagcitau.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/nagcitpu.htm,,y,4_rellit/buddh,y,
sa_samyaksaMbuddhabhASitaM-pratimAlakSaNam.xml,Samyaksaṃbuddhabhāṣitaṃ pratimālakṣaṇam,Samyaksambuddhabhāṣita pratimālakṣaṇa,,,,,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_samyaksaMbuddhabhASitaM-pratimAlakSaNam.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu059_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu059_u.htm,,y,4_rellit/buddh,y,
sa_nAgArjuna-kriyAsaMgrahakArikA.xml,Kriyāsaṃgrahakārikā,Kriyāsaṃgrahakārikā,,Nāgārjuna,Nāgārjuna,P4954,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_nAgArjuna-kriyAsaMgrahakArikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa044_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa044_u.htm,,y,6_sastra/3_phil/buddh,y,
sa_davuldeNa-jJAnezvara-mahAsthavira-yazodharAcarita.xml,Yaśodharācarita,Yaśodharācarita,,Davuldeṇa Jñāneśvara Mahāsthavira,Davuldeṇa Jñāneśvara Mahāsthavira,P0ER0004,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_davuldeNa-jJAnezvara-mahAsthavira-yazodharAcarita.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/davyasou.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/davyasou.htm,https://archive.org/search.php?query=Ya%C5%9Bodhar%C4%81carita,y,4_rellit/buddh,y,
sa_buddhaghoSa-siddhArthacaritrakAvya.xml,Siddhārthacaritrakāvya,Siddhārthacaritrakāvya,,Buddhaghoṣa,Buddhaghoṣa,P0ER0002,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_buddhaghoSa-siddhArthacaritrakAvya.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bghsic_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bghsic_u.htm,,y,4_rellit/buddh,y,
sa_zAkyabuddhi-pramANavArttikaTIkA.xml,Pramāṇavārttikaṭīkā,Pramāṇavārttikaṭīkā,,Śākyabuddhi,Śākyabuddhi,P0AT0114,D4220,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_zAkyabuddhi-pramANavArttikaTIkA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sbpramvu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sbpramvu.htm,,,6_sastra/3_phil/buddh,,
sa_ratnakIrti-vAdarahasya.xml,Vādarahasya also known as Udayananirākaraṇa,Vādarahasya [Udayananirākaraṇa],,Ratnakīrti,Ratnakīrti (?),P8181,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_ratnakIrti-vAdarahasya.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/rvadrahu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/rvadrahu.htm,,y,6_sastra/3_phil/buddh,y,
sa_ratnakIrti-kSaNabhaGgasiddhi-vyatirekAtmikA.xml,Kṣaṇabhaṅgasiddhi vyatirekātmikā,Kṣaṇabhaṅgasiddhi Vyatirekātmikā,,Ratnakīrti,Ratnakīrti,P8181,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_ratnakIrti-kSaNabhaGgasiddhi-vyatirekAtmikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/ratksanu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/ratksanu.htm,,,6_sastra/3_phil/buddh,,
sa_pramANavArttika.xml,Pramāṇavārttika,Pramāṇavārttika,"I corrected ""Pramāṇavārtika"" in GRETIL to ""Pramāṇavārttika"".",,Dharmakīrti,P6120,"D4210, D4216",,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_pramANavArttika.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/pramanvu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/pramanvu.htm,,y,6_sastra/3_phil/buddh,y,
sa_jitAri-hetutattvopadeza-alt.xml,Hetutattvopadeśa,Hetutattvopadeśa,,Jitāri,Jitāri (Jetāri),,D4261,,Not found.,Reconstructed; Sanskrit text with the Tibetan version,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_jitAri-hetutattvopadeza-alt.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/jithetuu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/jithetuu.htm,https://archive.org/search.php?query=Hetutattvopade%C5%9Ba,y,6_sastra/3_phil/buddh,n,gretil_sa/sa_jitAri-hetutattvopadeza.xml
