original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00103 - amRtabindUpaniSat.htm,amRtabindUpaniSat_M00103.xml,M00103,Amṛtabindūpaniṣadvivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00103,Śāstrī Mahādeva,,,,,,colophon,Amṛtabindu Upaniṣat,ilxM00004,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā likhitaṃ syādvivaraṇaṃ bindūpaniṣadaḥ sphuṭam prakṛtopaniṣadvyākhyāgranthastriṃśādhikaṃ śatam iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe viṃśatisaṃkhyāpūrakam amṛtabindūpaniṣadvivaraṇaṃ saṃpūrṇam,
M00504 - amRtezatantra.htm,amRtezatantra_M00504.xml,M00504,Amṛteśatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00504,,,,,,,,Netratantra,,,,['tantra / āgama'],,,,samāptamidaṃ mṛtyujidamṛtīśavidhānaṃ saṃpūrṇamiti śubham || saṃvat 320 caitraśudi śani dive (***?) viśveśvara likhāpitamidaṃ pustakaṃ || paṃḍitakīrtidhara likhitaṃ mayā,
M00539 - amRtezvaradikSAvidhi.htm,amRtezvaradikSAvidhi_M00539.xml,M00539,Amṛteśvaradikṣāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00539,,,,,incomplete,lacking incipit,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,iti śivasaptasrotāgamagaṇābhiprāyāduddhṛtāmṛtīśanetrodyotā-'pratihatamahādi ikṣāsuṭippaṇakaṃ samāptam,
M00311 - gaNananAthabhaTTa - azeSakulavallarI.htm,gaNananAthabhaTTa_azeSakulavallarI_M00311.xml,M00311,Aśeṣakulavallarī,,Gaṇanāthabhaṭṭa,mbP0006,https://muktabodha-digital-library.org/texts/IAST/M00311,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śākta', 'compendium', 'Paddhati']",colophon,Bhaṭṭa Śrī Gaṇanātha,colophon,iti bhaṭṭaśrīgaṇanāthaviracitāyāmaśeṣavallaryāṃ gurudhyānapaddhatiḥ prathamā,in middle
M00540 - aSTamAtRkApUjA.htm,aSTamAtRkApUjA_M00540.xml,M00540,Aṣṭamātṛkāpūjā,,,,https://muktabodha-digital-library.org/texts/IAST/M00540,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,iti navapīṭha aṣṭamātṛkāpīṭhapūjāvidhiḥ samāptaḥ | śubhaṃ bhavantu sarvadā śubhaḥ,
M00002a - ahirbudhnya saMhita volume 1.htm,ahirbudhnya_saMhita_volume_1_M00002a.xml,M00002a,Ahirbudhnya Saṃhita Volume 1,Of the Pāñcarātrāgama,,,https://muktabodha-digital-library.org/texts/IAST/M00002a,Pandit M. D. Ramanujacarya,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",,,,iti śrīpāñcarātre tantrarahasye ahirbudhnyasaṃhitāyāṃ rājñāṃ sudarśanayantrārādhanavidhānakeśavādiguṇapradhānabhāvavyavasthāpanaṃ nāma ṣaṭtriṃśo'dhyāyaḥ,
M00002b - ahirbudhnya saMhita volume 2.htm,ahirbudhnya_saMhita_volume_2_M00002b.xml,M00002b,Ahirbudhnya Saṃhita Volume 2,Of the Pāñcarātrāgama,,,https://muktabodha-digital-library.org/texts/IAST/M00002b,Pandit M. D. Ramanujacarya,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",,,,iti śrīpāñcarātre tantrarahasye ahirbudhnyasaṃhitāyāṃ śāstravaibhavanirūpaṇaṃ nāma ṣaṣṭitamo'dhyāyaḥ || samāptā ceyamahirbudhnyasaṃhitā /// ahirbudhnyasaṃhitāpariśiṣṭaṃ sudarśana sahasranāmastotram /// ityahirbudhnyasaṃhitāyāṃ tantrarahasye vyāsanāradasaṃvāde śrīsudarśanasahasranāmastotraṃ saṃpūrṇam,
M00117 - yadunAtha - AgamakalpalatA.htm,yadunAtha_AgamakalpalatA_M00117.xml,M00117,Āgamakalpalatā,,Yadunātha,mbP0007,https://muktabodha-digital-library.org/texts/IAST/M00117,,y,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śākta']",colophon,"Yadunātha Cakravartti, Yadunātha Śarma","catalog, incipit",śrīśrīyadunāthacakravartiviracitāyāmāgamakalpalatāyāṃprathamaḥpallavaḥ /// ityāgamakalpalatāṃyāṃyānāthaviracitāyāṃaṣṭāviṃśaḥpaṭalaḥ | samāpteyamāgamakalpalatāśrāgurūṇā,in middle /// at end
M00659 - AgamakalpalatA.htm,AgamakalpalatA_M00659.xml,M00659,Āgamakalpalatā,,Yadunātha,mbP0007,https://muktabodha-digital-library.org/texts/IAST/M00659,,n,muktabodha/yadunAtha_AgamakalpalatA_M00117.xml,,,,,,,,,['tantric / āgamic literature'],colophon,"Yadunātha Cakravartti, Yadunātha Śarma","catalog, incipit",ityāgamakalpalatāṃyāṃyānāthaviracitāyāṃaṣṭāviṃśaḥpaṭalaḥ | samāpteyamāgamakalpalatāśrāgurūṇā,
M00001 - yAmunAchAryasTAmin - AgamaprAmANya.htm,yAmunAchAryasTAmin_AgamaprAmANya_M00001.xml,M00001,Āgamaprāmāṇya,,Yāmuna,mbP0008,https://muktabodha-digital-library.org/texts/IAST/M00001,Rāmamiśraśāstri,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",colophon,Yāmunāchāryaswāmin,catalog,iti śrīyāmunamuniviracitamāgamaprāmāṇyam,
I00020 - AgamavacanasaGgrahaH.htm,AgamavacanasaGgrahaH_I00020.xml,I00020,Āgamavacanasaṅgrahaḥ,,,,https://muktabodha-digital-library.org/texts/IAST/I00020,,y,,,fragments,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,no,
I00024 - AgamavacanasaGgraha.htm,AgamavacanasaGgraha_I00024.xml,I00024,Āgamavacanasaṅgraha,,,,https://muktabodha-digital-library.org/texts/IAST/I00024,,n,muktabodha/AgamavacanasaGgrahaH_I00020.xml,,fragments,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,iti vātule pratiṣṭhā tantre vāstuvidhipaṭalaḥ /// iti vātulākhye mahātantre puṇyāhavidhipaṭalaḥ,in middle
