sub_folder,file,title,author,url,best_text,duplicate_of_standard
darśanāni,brahmānucintanam.xml,Brahmānucintana,,https://sa.wikisource.org/wiki/%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A5%81%E0%A4%9A%E0%A4%BF%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%A8%E0%A4%AE%E0%A5%8D,,
darśanāni,brāhṛsūtrārthapadyamālikā.xml,Brāhṛsūtrārthapadyamālikā,,https://sa.wikisource.org/wiki/%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B9%E0%A5%83%E0%A4%B8%E0%A5%82%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%AA%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,caturhastikā.xml,Caturhastikā,,https://sa.wikisource.org/wiki/%E0%A4%9A%E0%A4%A4%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%B9%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,cidgaganacandrikā.xml,Cidgaganacandrikā,,https://sa.wikisource.org/wiki/%E0%A4%9A%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%97%E0%A4%97%E0%A4%A8%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,dattātreyayogaśāstram.xml,Dattātreyayogaśāstra,,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%AF%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%8D,,
darśanāni,daśaślokī.xml,Daśaślokī,,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A4%B6%E0%A4%B6%E0%A5%8D%E0%A4%B2%E0%A5%8B%E0%A4%95%E0%A5%80,,
darśanāni,daśaślokīstutiḥ_bṛhatstotraratnākarāntargatā.xml,Daśaślokīstuti (Bṛhatstotraratnākarāntargatā),Śaṅkarācārya,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A4%B6%E0%A4%B6%E0%A5%8D%E0%A4%B2%E0%A5%8B%E0%A4%95%E0%A5%80%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%81%E0%A4%A4%E0%A4%BF%E0%A4%83_(%E0%A4%AC%E0%A5%83%E0%A4%B9%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8B%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8%E0%A4%BE%E0%A4%95%E0%A4%B0%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%A4%E0%A4%BE),,
darśanāni,dhanyāṣṭakam.xml,Dhanyāṣṭaka,Śaṅkarācārya,https://sa.wikisource.org/wiki/%E0%A4%A7%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A4%95%E0%A4%AE%E0%A5%8D,,
darśanāni,dvaitadyumaṇipariśiṣṭam.xml,Dvaitadyumaṇipariśiṣṭa,,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A5%88%E0%A4%A4%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%81%E0%A4%AE%E0%A4%A3%E0%A4%BF%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%B6%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A4%AE%E0%A5%8D,,
darśanāni,dvādaśastotrāṇi.xml,Dvādaśastotrāṇi,,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%A6%E0%A4%B6%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8B%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%A3%E0%A4%BF,,
darśanāni,dṛgdṛśyavivekaḥ.xml,Dṛgdṛśyaviveka,,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A5%83%E0%A4%97%E0%A5%8D%E0%A4%A6%E0%A5%83%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%95%E0%A4%83,,
darśanāni,gurorguṇamaṇimālā.xml,Gurorguṇamaṇimālā,,https://sa.wikisource.org/wiki/%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A5%81%E0%A4%A3%E0%A4%AE%E0%A4%A3%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BE,,
darśanāni,gītābhāṣyatātparyacandrikā.xml,Gītābhāṣyatātparyacandrikā,,https://sa.wikisource.org/wiki/%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%BE%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AF%E0%A4%A4%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,gītātātparyanirṇayaḥ.xml,Gītātātparyanirṇaya,,https://sa.wikisource.org/wiki/%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%BE%E0%A4%A4%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%AF%E0%A4%83,,
darśanāni,gītātātparyaṭīkābhāvadīpaḥ.xml,Gītātātparyaṭīkābhāvadīpa,,https://sa.wikisource.org/wiki/%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%BE%E0%A4%A4%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%9F%E0%A5%80%E0%A4%95%E0%A4%BE%E0%A4%AD%E0%A4%BE%E0%A4%B5%E0%A4%A6%E0%A5%80%E0%A4%AA%E0%A4%83,,
darśanāni,jayantīkalpaḥ.xml,Jayantīkalpa,,https://sa.wikisource.org/wiki/%E0%A4%9C%E0%A4%AF%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%80%E0%A4%95%E0%A4%B2%E0%A5%8D%E0%A4%AA%E0%A4%83,,
